epoch,train_loss_overall,train_loss_sst2,train_loss_qqp,train_loss_stsb,sst2_eval_loss,sst2_accuracy,sst2_macro_f1,sst2_precision,sst2_recall,qqp_eval_loss,qqp_accuracy,qqp_macro_f1,qqp_precision,qqp_recall,stsb_eval_loss,stsb_pearson,stsb_spearman,overall_score,time_per_epoch,trainable_params,total_params,model_name,dataset_name,setting,best_metric_so_far,patience_counter,is_new_best,lora_r,lora_alpha,lora_dropout
1,0.7738704564216085,0.4477399080997642,0.5544055027983957,1.3194659583666652,0.29890795621004973,0.8795871559633027,0.8795515148804396,0.879537693307445,0.8795676517639135,0.49314511992806825,0.7388820183032402,0.7242771362922282,0.721524334242257,0.7288698512172629,0.7239848867534323,0.8303885962468756,0.8300398987459021,0.8162278072543105,3297.6969997882843,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8162278072543105,0,True,8,16,0.1
2,0.4596478605065389,0.2899399608651962,0.4976597372009196,0.591343883453501,0.27885946333408357,0.8864678899082569,0.8862403358709016,0.8877759272477331,0.8859455249642165,0.4650512176466686,0.7639129359386594,0.7501069255416802,0.7472341393819901,0.7543831802940439,0.7831043753218143,0.8228001201567698,0.8254526927414023,0.8248357440986674,3419.830265522003,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8248357440986674,0,True,8,16,0.1
3,0.3884454290690193,0.2648865278382053,0.47473197306758325,0.4257177863012693,0.25203831067139454,0.8967889908256881,0.8967449938162777,0.8967873007852797,0.8967121326934411,0.4498650019742964,0.7731387583477616,0.7579171286312147,0.7562808763610613,0.7598477214197739,0.7788739313787603,0.8221296809923948,0.8242050744449031,0.831031708964033,3393.7929458618164,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.831031708964033,0,True,8,16,0.1
4,0.3463898420731329,0.24914669421425734,0.459500707140775,0.33052212486436644,0.26274540244855665,0.8944954128440367,0.8941188892408405,0.8976190476190476,0.8937021133282815,0.4385992355105148,0.7809547365817462,0.7675525113865213,0.7648246303261563,0.7712614352102335,0.782965268384903,0.8231196729186608,0.8234776646915339,0.8329162727436268,3458.461481332779,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8329162727436268,0,True,8,16,0.1
5,0.31806151750967326,0.23571082358356443,0.4475547420424069,0.2709189869030484,0.2533042892813683,0.9025229357798165,0.9023656440877339,0.9035021941520962,0.902090174286436,0.42624425568456087,0.7900816225575068,0.7773470587337881,0.774427982150417,0.7813435661530599,0.7940428715912585,0.8217946755754837,0.8240222237852332,0.838504336005894,3394.254541158676,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.838504336005894,0,True,8,16,0.1
6,0.2956797301016887,0.22354664587002576,0.43585400956513193,0.22763853486990843,0.2415921194309538,0.908256880733945,0.9082395033147427,0.9082070707070707,0.9083101793382167,0.4206604008847751,0.7943853574078654,0.7799385403693686,0.7788461684941407,0.7811327898964153,0.7518806092916651,0.8251671099068976,0.8251658437895063,0.8426029049966708,3323.306388616562,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8426029049966708,0,True,8,16,0.1
7,0.28036219252929323,0.21311114794991953,0.4277965893648602,0.2001788402731,0.24783480936153368,0.9128440366972477,0.912711333090982,0.9137683454756625,0.9124358002862676,0.40865989983801226,0.8018303240168192,0.7891248325456373,0.786675992947943,0.7921828163502886,0.7920029307616517,0.8255294489495232,0.828569164637462,0.8472412225025199,3309.051955461502,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8472412225025199,0,True,8,16,0.1
8,0.26745796098406577,0.20430978337303377,0.42022716938508364,0.17783693019407998,0.23905755745416338,0.911697247706422,0.9116831938421309,0.9116536112411685,0.9117727540624737,0.4110343891155781,0.8013603759584467,0.7856391308756694,0.7868811255104661,0.7844937566294945,0.7788278324172851,0.8233382920486857,0.8256342800550068,0.8458479699055715,3360.697308778763,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8472412225025199,1,False,8,16,0.1
9,0.25705199907317383,0.19592244985112167,0.41360151828898795,0.1616320290794119,0.2539316771721298,0.9059633027522935,0.9058027527770166,0.9070529073698446,0.9055106508377537,0.4014194241869011,0.8066534751422211,0.7930405476003919,0.7919307938879205,0.7942474150847763,0.7724676578444369,0.8233703574001595,0.8241397985992599,0.8454572852980747,3352.9111983776093,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8472412225025199,2,False,8,16,0.1
10,0.24717552251895128,0.18728010041631346,0.4067192371518729,0.14752722998866746,0.25229454521428457,0.911697247706422,0.9116776175160974,0.9116461743243314,0.9117306558895344,0.3980277931656015,0.8105119960425426,0.7966919080393156,0.7962115265290277,0.797188709709127,0.7524507839946036,0.8260578549645627,0.82650885005202,0.849497532085752,3338.7924785614014,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.849497532085752,0,True,8,16,0.1
11,0.2401561768130365,0.18009738361021144,0.4022786413632252,0.13809250546567287,0.2554413333196532,0.9174311926605505,0.9173685983827493,0.9176569742941425,0.9172349920013472,0.38861674810109237,0.814543655701212,0.8023138580193513,0.8001266926935107,0.8049208477889433,0.7577245481153752,0.8291795554620494,0.8307585380306008,0.8539812983693625,3359.5911090373993,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8539812983693625,0,True,8,16,0.1
12,0.23090875837717853,0.17093349400136848,0.3951597268557225,0.12663305427444457,0.2654034725559706,0.9139908256880734,0.9139717053728222,0.9139400539798286,0.9140250063147259,0.39117782875795254,0.8147167944595597,0.8010820090806321,0.80077131478997,0.8013992774118112,0.7464295235720086,0.8272536707596642,0.8277210412778702,0.8520649920554669,3369.5874679088593,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8539812983693625,1,False,8,16,0.1
13,0.2257538356731383,0.1649119127784225,0.3913949832353304,0.12095461100566199,0.2660884297452867,0.9162844036697247,0.9162261220890828,0.9164617029456841,0.916108865875221,0.38229042477094943,0.8193915409349493,0.8076473913476339,0.805220729168181,0.8105935155103461,0.7497246135422524,0.8298153079816126,0.8310727553287376,0.8553733254199498,3456.667245388031,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8553733254199498,0,True,8,16,0.1
14,0.22497682991132747,0.16440632617141454,0.39072225750282885,0.11980190605973892,0.264759438095445,0.911697247706422,0.9116460050293246,0.9117897929204378,0.9115622631977772,0.38734919243931865,0.8172149394014345,0.8016428511930263,0.8049452601687753,0.7988765437480395,0.7542791252440595,0.8266514429276153,0.8282368850493125,0.8521187836987735,3504.7700951099396,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8553733254199498,1,False,8,16,0.1
15,0.21554013967452182,0.15351501885529173,0.38310837462891073,0.10999702553936311,0.2845134756189178,0.908256880733945,0.9082259829923381,0.9082259829923381,0.9082259829923381,0.382053980156396,0.8203314370516943,0.8069185757175206,0.8069013835909608,0.8069357867484472,0.7433610097207921,0.8275668764527818,0.828068908065361,0.852135403348237,3229.697476863861,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8553733254199498,2,False,8,16,0.1
16,0.21175312511769795,0.1489032350041044,0.3800085613704806,0.10634757897850876,0.2822017050348222,0.9151376146788991,0.9150929493252489,0.915199629380054,0.9150248379220343,0.374687861415311,0.8239920850853327,0.8130670444960344,0.8099917328000366,0.8170516795004278,0.7402110990691693,0.8299340697894404,0.8302192743142122,0.8564021239386861,3236.9271829128265,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8564021239386861,0,True,8,16,0.1
17,0.2108905375064091,0.14808716547641768,0.37921190057450305,0.10537254646830668,0.28571046370674263,0.911697247706422,0.9116553051683962,0.9117278589288065,0.9116043613707165,0.3789983530129705,0.821568142468464,0.8064483329262047,0.8096405058024305,0.8037512361523163,0.7498869666076721,0.8263692427392436,0.8272836769434977,0.8533639500054188,3229.581379890442,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8564021239386861,1,False,8,16,0.1
18,0.2108809735543379,0.1477186732888944,0.3791746482954853,0.10574959907863403,0.2950466229495677,0.911697247706422,0.9115994749474354,0.9122116474651341,0.91139387050602,0.373163486780399,0.8241652238436804,0.812019062625732,0.8104981631524446,0.8137123374197943,0.7522322429304428,0.8264746331419732,0.8267885762232123,0.8541646920775651,3265.5858149528503,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8564021239386861,2,False,8,16,0.1
19,0.20889791410504607,0.14575241417529658,0.37768911879460054,0.10325220934524107,0.3005448548292572,0.9128440366972477,0.9127779649595686,0.9130636325326591,0.9126462911509641,0.3683661040984504,0.8279495424189958,0.8179888596847227,0.8141276498477968,0.8235195874050503,0.74565335965537,0.8276308634236357,0.8273503524106132,0.8560947290111226,3281.340704679489,223109,33583109,microsoft/MiniLM-L12-H384-uncased,sst2+qqp+stsb,centralized_mtl_lora,0.8564021239386861,3,False,8,16,0.1
