epoch,train_loss,eval_loss,pearson,spearman,mse,mae,inference_latency_ms,throughput_samples_per_sec,peak_vram_mb,time_per_epoch
1,2.3138955351379185,2.2190516889095306,0.16820697,0.15051022219611288,2.2053980827331543,1.254658579826355,0.1730198239999936,5779.684529097874,189.380859375,4.507134390000033
2,1.7977972931332058,2.2463876927892366,0.17891361,0.16890868758992425,2.2394986152648926,1.2481374740600586,0.17375922399999882,5755.090158551851,189.38232421875,3.2764345200000093
3,1.35494322180748,2.4638083428144455,0.19987714,0.19548758313287734,2.4587769508361816,1.2718567848205566,0.17297866733334405,5781.059684503859,189.3798828125,4.4192948400000205
4,0.8917096419466867,2.5266358703374863,0.193085,0.1909409501060004,2.5254271030426025,1.2917970418930054,0.18168554466668257,5504.0152029407955,189.3818359375,3.7785353310000005
5,0.5715388043059243,2.6782917430003486,0.18650171,0.19027123078320526,2.676231861114502,1.3237429857254028,0.18658811000000242,5359.398302496269,189.38134765625,3.497061171000041
6,0.39846708981527224,2.5812813142935433,0.21957117,0.21700066557582076,2.5784294605255127,1.2989466190338135,0.19780643666664827,5055.447218258333,189.38232421875,4.7335438169999975
7,0.2911241294609176,2.7025142461061478,0.20010157,0.2015825659813591,2.699666976928711,1.3247231245040894,0.1754220793333161,5700.536692989024,189.38232421875,3.4126090849999855
8,0.23303141734666294,2.6349017545580864,0.20967968,0.21083418445742025,2.6405951976776123,1.3091826438903809,0.1700818746666831,5879.521271503762,189.38037109375,3.6697273500000165
9,0.20121357556846406,2.5286927173535028,0.21567081,0.21538190645301927,2.532585382461548,1.2851122617721558,0.17130582333334132,5837.51317113205,189.38134765625,4.394995682000001
10,0.16554673748711746,2.5282444010178247,0.21687,0.21774427640861824,2.5264623165130615,1.281933307647705,0.1749579026666576,5715.6606518384715,189.38232421875,3.461587495999993
