epoch,train_loss_overall,train_loss_sst2,train_loss_qqp,train_loss_stsb,sst2_eval_loss,sst2_accuracy,sst2_macro_f1,sst2_precision,sst2_recall,qqp_eval_loss,qqp_accuracy,qqp_macro_f1,qqp_precision,qqp_recall,stsb_eval_loss,stsb_pearson,stsb_spearman,overall_score,time_per_epoch,trainable_params,total_params,model_name,dataset_name,setting,best_metric_so_far,patience_counter,is_new_best,lora_r,lora_alpha,lora_dropout
1,0.47423066979639,0.32110693671543483,0.4294429512456211,0.6721421214281139,0.24142237576571376,0.9071100917431193,0.9070072398797697,0.9076138251034773,0.906805169655637,0.3705171748102419,0.8254019292604502,0.8149581618900832,0.8114512081596309,0.819751342138755,0.5226893025509854,0.8808953829708341,0.8778060152547849,0.8706209067054597,9887.881700277328,40709,11724293,albert-base-v2,sst2+qqp+stsb,centralized_mtl_lora,0.8706209067054597,0,True,8,16,0.1
2,0.2520452450752357,0.21566357576089207,0.367018459393685,0.17345370007112992,0.2370119352570989,0.9094036697247706,0.9093033574136027,0.9099127362843057,0.9090995200808285,0.3531723814840651,0.8344051446945338,0.8246045121603673,0.8208681698451648,0.8297636416940394,0.6028521462006772,0.8656101805939572,0.8645513139603193,0.8696298538988142,9115.95945096016,40709,11724293,albert-base-v2,sst2+qqp+stsb,centralized_mtl_lora,0.8706209067054597,1,False,8,16,0.1
3,0.21209675108625214,0.1909659082290896,0.35130201477037637,0.09402233025929037,0.24220488965511322,0.908256880733945,0.9081752462788335,0.9085744999262273,0.9080154921276417,0.34317740298834154,0.8392035617116003,0.8294318191457366,0.825925747197787,0.8340795120521112,0.6366317055009781,0.861139271896346,0.8604577158220029,0.8694196454349066,9201.344636201859,40709,11724293,albert-base-v2,sst2+qqp+stsb,centralized_mtl_lora,0.8706209067054597,2,False,8,16,0.1
4,0.19479205972938599,0.17399313595772284,0.34186192321666475,0.06852112001377045,0.2476648209277879,0.9105504587155964,0.9105123279741073,0.9105560117055096,0.9104782352445904,0.3365765375597089,0.8438288399703191,0.832352689516714,0.8319781428265225,0.8327354501560309,0.6350730816100506,0.8642859026776827,0.8630404499310179,0.8726808249967553,9188.38195347786,40709,11724293,albert-base-v2,sst2+qqp+stsb,centralized_mtl_lora,0.8726808249967553,0,True,8,16,0.1
5,0.18313097639991202,0.15916208688177172,0.333315797606848,0.05691504471111635,0.25474959592419594,0.911697247706422,0.9115994749474354,0.9122116474651341,0.91139387050602,0.3305926370332375,0.8474400197872867,0.837717387018639,0.8347405256112947,0.8413964226157966,0.6507795411855617,0.8617802707061866,0.861559440014793,0.8736023742847329,9221.911547899246,40709,11724293,albert-base-v2,sst2+qqp+stsb,centralized_mtl_lora,0.8736023742847329,0,True,8,16,0.1
6,0.17490384559554384,0.14690540180918593,0.32771369796697597,0.050092437010469594,0.2656435946341265,0.9071100917431193,0.906960202013017,0.9081070091409802,0.9066788751368191,0.32693407300242,0.8497897600791492,0.8400285155619431,0.8373212744094861,0.8432839214298596,0.6441830036012416,0.8632866462468396,0.8630876955151401,0.8733623409010861,8986.270013809204,40709,11724293,albert-base-v2,sst2+qqp+stsb,centralized_mtl_lora,0.8736023742847329,1,False,8,16,0.1
7,0.16840187335242265,0.136329189395619,0.32318450071783855,0.04569192994381043,0.27937525041740047,0.908256880733945,0.9081002466117235,0.9093559837728196,0.9078050012629453,0.3237141925984567,0.8511501360375958,0.8413135060755859,0.8388636365172242,0.8441922423055128,0.643644591634895,0.8635697668737674,0.8635487065086257,0.8743220844875791,9492.81472325325,40709,11724293,albert-base-v2,sst2+qqp+stsb,centralized_mtl_lora,0.8743220844875791,0,True,8,16,0.1
8,0.16359285138807003,0.1266226624304054,0.3189886218590245,0.04516726987478022,0.2943015306172046,0.9094036697247706,0.9092737341876346,0.910226367095756,0.9090153237349499,0.32127578142731145,0.8523868414543656,0.8425864173978491,0.8402043424728816,0.8453671532640832,0.6492043423684354,0.8634823215416806,0.8632806209148409,0.8750573274691323,9037.115577936172,40709,11724293,albert-base-v2,sst2+qqp+stsb,centralized_mtl_lora,0.8750573274691323,0,True,8,16,0.1
9,0.15943779684857093,0.11943375322532576,0.3164839811570185,0.04239565616336853,0.31278864353556524,0.9071100917431193,0.9069925456563733,0.9077608444507748,0.9067630714826976,0.31954951938883,0.8530793964877567,0.8430546655788486,0.8411482436213521,0.8452003100958065,0.6451473295530106,0.8635994580181073,0.8637989771435287,0.874629568603898,8886.016087532043,40709,11724293,albert-base-v2,sst2+qqp+stsb,centralized_mtl_lora,0.8750573274691323,1,False,8,16,0.1
10,0.1571303464680573,0.11412522520383422,0.3155964721424409,0.04166934205789672,0.31852561069483104,0.8990825688073395,0.899048581291572,0.899048581291572,0.899048581291572,0.3182957246575282,0.8543408360128617,0.8433987706927939,0.843529570944058,0.8432688781933757,0.6373999595959136,0.8649519386774401,0.8644670096318271,0.8727109596582783,8860.310965061188,40709,11724293,albert-base-v2,sst2+qqp+stsb,centralized_mtl_lora,0.8750573274691323,2,False,8,16,0.1
11,0.15128629387980383,0.10352449271985135,0.31110709473802944,0.03922729418153068,0.3468706295825541,0.9025229357798165,0.9024550736653704,0.9026839275086769,0.9023427633240717,0.31622524234732713,0.8558496166213208,0.846181680235873,0.8439478610048811,0.8487522233647105,0.6468923291627396,0.8636214767099599,0.8638292938903753,0.8740326459004351,9606.512278795242,40709,11724293,albert-base-v2,sst2+qqp+stsb,centralized_mtl_lora,0.8750573274691323,3,False,8,16,0.1
