epoch,train_loss_overall,train_loss_sst2,train_loss_qqp,train_loss_stsb,sst2_eval_loss,sst2_accuracy,sst2_macro_f1,sst2_precision,sst2_recall,qqp_eval_loss,qqp_accuracy,qqp_macro_f1,qqp_precision,qqp_recall,stsb_eval_loss,stsb_pearson,stsb_spearman,overall_score,time_per_epoch,trainable_params,total_params,model_name,dataset_name,setting,best_metric_so_far,patience_counter,is_new_best
1,0.183810261443608,0.11041382847007028,0.3134433421498015,0.1275736137109521,0.4326828090135347,0.9002293577981652,0.9002187285858401,0.9011970053791483,0.9007219836659088,0.2578151160383064,0.8892901310907741,0.883431253314983,0.877830052717373,0.8922046119486033,0.508645579139603,0.8874549654993598,0.8853283834220019,0.8919703877832067,12742.360112190247,109486085,109486085,bert-base-uncased,sst2+qqp+stsb,centralized_mtl_full,0.8919703877832067,0,True
2,0.06546387841743834,0.019267278443085338,0.16162855170755344,0.01549580510167622,0.5083468410948461,0.8922018348623854,0.8922018348623854,0.8925023153995117,0.8925023153995117,0.30151318869769844,0.8921840217660153,0.8857718365548177,0.8813207889156545,0.8917051935919231,0.5063959387071589,0.8844434538680858,0.8809008304456506,0.8890193329284228,12813.10642361641,109486085,109486085,bert-base-uncased,sst2+qqp+stsb,centralized_mtl_full,0.8919703877832067,1,False
3,0.0366562866025755,0.012089480890453868,0.08669579129196538,0.011183587625307264,0.5447379765238359,0.8967889908256881,0.8967884478813225,0.8972083622813112,0.897133114422834,0.3903946363257313,0.8931239178827604,0.8852174792486155,0.8849558599622671,0.8854822511177722,0.5666265765878749,0.8696580427535242,0.8693232585261444,0.8864678531160942,12975.994833230972,109486085,109486085,bert-base-uncased,sst2+qqp+stsb,centralized_mtl_full,0.8919703877832067,2,False
4,0.02772378099162677,0.010343598797815871,0.06347094391807742,0.009356800258987009,0.6663734613663771,0.8876146788990825,0.8875857024841223,0.8875618225823425,0.8876189273385535,0.3947407854318426,0.8908236458075687,0.8832679275869338,0.8814289511331717,0.8852879711374995,0.5684582493565185,0.8683913262550497,0.8657484179871724,0.8818360656092542,12362.59551024437,109486085,109486085,bert-base-uncased,sst2+qqp+stsb,centralized_mtl_full,0.8919703877832067,3,False
