epoch,train_loss,eval_loss,sst2_accuracy,sst2_macro_f1,sst2_precision,sst2_recall,qqp_accuracy,qqp_macro_f1,qqp_precision,qqp_recall,stsb_pearson,stsb_spearman,overall_score,time_per_epoch,peak_vram_mb,throughput_samples_per_sec,inference_latency_ms
1,0.37641739903030985,0.34821044738949786,0.9185779816513762,0.9185538814905829,0.9185385720374433,0.9185716089921698,0.8758347761563195,0.8686141559658191,0.8641143613817954,0.8748423238039559,0.889367401599884,0.8868606379340626,0.8945933864691932,5546.197280336,688.12939453125,199.94064662237062,5.001484274924385
2,0.11199170162056785,0.43923152635438295,0.908256880733945,0.9081331647703329,0.9089911355002112,0.9078891976088237,0.8913430620826119,0.8842035475787018,0.8813253065793636,0.8875773636899008,0.8833181262016296,0.8855452740381613,0.8943060230060622,5456.359068258,813.81640625,226.65498828932326,4.4119920216514625
3,0.10053465084921037,0.4717725307700711,0.9094036697247706,0.9093835296593726,0.9093522946688344,0.9094363054643428,0.8985901558248826,0.8924853262768455,0.8881151963488408,0.898204470063532,0.8615504503250122,0.876875944219654,0.8898480919582218,5459.751928768001,813.81640625,228.0956128405831,4.384126408862163
4,0.08154979122549921,0.4660432063313715,0.8979357798165137,0.8977516913367983,0.8990911732847217,0.8974593752631136,0.9026712837002226,0.896221663948631,0.8934127965944307,0.8994716063185012,0.8732573986053467,0.8813808903850593,0.8912881540406943,5486.531730280001,813.81640625,226.14442420143746,4.421952933534426
5,0.0685502010060756,0.5239422662357001,0.9002293577981652,0.900086264231952,0.901021792253168,0.8998379220341837,0.9045263418253772,0.8977695887134924,0.8963753488691444,0.8992574966174086,0.8600237369537354,0.8798609960990809,0.8882598121924259,5582.006695368,1480.44580078125,197.99033690959524,5.050751544791865
